access	v. 获取 n. 接近，入口
issue	v. 发布 n. 问题
inquire	v. 询问
groundlessly	adv. 无根据地
independently	adv. 独立地
approach	v. 靠近 n. 方法
administration	n. 管理；政府
adversity	n. 逆境，不幸
technician	n. 技术员，技师
regular	adj. 有规律的，经常的
miscalculation	n. 算错，误算
hinder	v. 阻碍
selection	n. 选择，挑选
tide	n. 潮水
superior	adj. 优越的；上级的
matter	v. 要紧，重要
passively	adv. 消极地
grant	v. 授予；允许
liberation	n. 解放
observe	v. 观察；遵守
institute	v. 建立 n. 机构；学院
dormitory	n. 宿舍
awful	adj. 可怕的，骇人的
emergency	n. 紧急情况
stress	n. 压力；重音
launch	v. 发动
suppose	v. 假设；认为
remove	v. 消除，移除
exposure	n. 暴露；揭露
promote	v. 促进，提升；推销
engage	v. 从事；吸引
uncertain	adj. 不确定的
accommodate	v. 容纳；提供住宿
slave	n. 奴隶
mature	adj. 成熟的
contrast	n. 对照物 v. 对比
clinic	n. 诊所
award	v. 授予 n. 奖品
worthwhile	adj. 有价值的
cruelty	n. 残暴，残酷
threaten	v. 威胁
chemical	adj. 化学的 n. 化学品
consistent	adj. 一致的
renew	v. 更新；重新开始
takeoff	n. 起飞
innocent	adj. 无辜的；天真的
currently	adv. 当前；一般地
dropout	n. 辍学者
replace	v. 代替
sightseeing	n. 观光
honor	n. 荣誉；崇敬，敬重，敬意
imitate	v. 模仿
installment	n. 分期付款
personality	n. 个性，性格
headquarter	v. 设立总部
ingredient	n. 成分，原料
revenue	n. 收入
sensitive	adj. 敏感的
particular	adj. 特别的；挑剔的
tumor	n. 瘤
consequence	n. 结果，后果
explicitly	adv. 直接地，明确地
sway	v. 影响
technical	adj. 技术的
expert	adj. 熟练的，内行的
harm	n. 损害；危害 v. 伤害
imaginary	adj. 虚构的，想象的
contaminate	v. 污染，弄脏
soar	v. 猛增
solely	adv. 单独地，唯一地
tremendous	adj. 巨大的
civilization	n. 文明
tough	adj. 困难的
gift	n. 礼物；天赋
scale	n. 规模；比例
injure	v. 使受伤
embrace	v. 拥抱；欣然接受
seldom	adv. 很少，罕见
performance	n. 演出；表现
violate	v. 违反
associate	v. 联系；交往
privacy	n. 隐私
choke	v. 使窒息
capable	adj. 能干的，有能力的
appeal	n. 呼吁 v. 吸引
careless	adj. 粗心的
hit	n. 成功；击中
swallow	v. 咽下，吞下
consult	v. 咨询
preservation	n. 保存，保留
distance	n. 距离
plastic	adj. 塑料的
predict	v. 预言，预测，预告
submit	v. 提交
entertainment	n. 娱乐
critical	adj. 批评的，爱挑剔的
transaction	n. 交易，业务，事务
via	prep. 通过
insist	v. 主张，坚持
distract	v. 分心
subdivision	n. 分支；分部
yield	v. 产生；屈服 n. 产量
misunderstand	v. 误解
detail	n. 细节
immeasurable	adj. 无法估量的
convincing	adj. 令人信服的
donate	v. 捐赠
compare	v. 比较，对照
item	n. 一项；一件
concrete	adj. 具体的
govern	v. 管理，支配
classify	v. 分类；分级
restrict	v. 限制，限定
establish	v. 建立，创办，设立
counseling	n. 咨询服务
majority	n. 多数
contact	n. 联系；接触 v. 联系
virtual	adj. 虚拟的
simplicity	n. 简单
enrollment	n. 入学人数
programming	n. 程序设计；节目
device	n. 装置，设备
previous	adj. 之前的
alter	v. 改变
coach	n. 教练 v. 训练
crisis	n. 危机
interconnect	v. 相互联系
enrich	v. 丰富；使富有
poll	n. 民意调查
consent	v. 同意 n. 许可
utility	n. 公用事业
poisonous	adj. 有毒的，有害的
collision	n. 冲突，抵触
rank	v. 位居 n. 军衔；等级
fundamentally	adv. 根本上
inflation	n. 通货膨胀
secure	adj. 安全的 v. 确保
interpret	v. 解释
criticize	v. 批评；评论
arrest	v. 逮捕
afford	v. 负担得起
implementation	n. 实现，履行
initiate	v. 开始，发起
enable	v. 使能够
narrow	adj. 狭窄的
overcharge	v. 多收费
shortcut	n. 捷径，近路
leisure	n. 悠闲，空闲
original	adj. 原始的，最初的
density	n. 密度
sphere	n. 球体；范围
margin	n. 页边的空白，页边，白边
department	n. 部门
desire	n. 渴望，欲望
legend	n. 传奇
dictator	n. 独裁者；专制者
diversity	n. 多样性；差异
quit	v. 放弃
outgoing	adj. 外向的；开朗的
solution	n. 解决，解答，解决办法
revenge	n. 报仇
reverse	n. 相反 adj. 相反的
enroll	v. 注册
logically	adv. 符合逻辑地
rental	n. 租金
component	n. 成分
quotation	n. 引文
faith	n. 信任
invalid	adj. 无效的
invade	v. 侵入，侵略
separately	adv. 分别地，另行
strain	v. 扭伤，拉伤
accessible	adj. 易接近的
lap	n. 大腿部
character	n. 角色
widespread	adj. 普遍的，广泛的
rearrange	v. 重新安排
hospitalize	v. 使住院
avail	v. 有益，有帮助
instant	adj. 立即的；速溶的
democratic	adj. 民主的
barely	adv. 仅仅，几乎不
vanish	v. 消失
caregiver	n. 照料者
harsh	adj. 严酷的
reliable	adj. 可靠的，可信赖的
massive	adj. 巨大的；大量的
alcohol	n. 酒精
pregnant	adj. 怀孕的
adapt	v. 适应于
bogus	adj. 假冒的
slippery	adj. 滑的；模糊的
current	adj. 当前的
overwhelm	v. 压倒，战胜
stressful	adj. 有压力的；紧张的
toothache	n. 牙痛，牙疼
eliminate	v. 消除
terminal	n. 终点站，航空站
severe	adj. 严重的
immobile	adj. 稳定的，不变的
diplomatic	adj. 外交的
candidate	n. 候选人
fund	n. 基金 v. 提供资金
complacency	n. 自满，满足
delight	n. 高兴
inadequate	adj. 不足的，不够的
steady	adj. 稳定的，逐步的
accurate	adj. 精确的，准确的
identification	n. 身份证明；鉴定
previously	adv. 事先
identical	adj. 相同的
retirement	n. 退休
commit	v. 犯罪；承担义务
element	n. 要素；元素
assess	v. 评价
hire	v. 雇佣
represent	v. 代表
overestimate	v. 对（数量）估计过高
supervision	n. 监督
expose	v. 暴露
seemingly	adv. 表面上看
assignment	n. 作业
preference	n. 偏爱
energetic	adj. 精力充沛的
application	n. 申请；应用
moral	adj. 精神上的，道德的
dispute	n. 争论；争端 v. 争论
influence	n. 影响 v. 影响
illegal	adj. 非法的
esteem	n. 尊重，敬重
abundant	adj. 大量的，丰富的
survey	n. 调查；勘测 v. 审视
extensively	adv. 广泛地
deserve	v. 值得
crash	v. 碰撞；坠毁 n. 撞车
affirm	v. 断言，声明
reputation	n. 名气，名声，名誉
degree	n. 程度
fade	v. 逐渐消失
competitor	n. 竞争者，对手
confuse	v. 使混淆，迷惑
task	n. 任务，工作
lessen	v. 减少
admit	v. 承认；容许
bow	v. 鞠躬
division	n. 除法；部门
literature	n. 文学；文献
consultant	n. 顾问
penalty	n. 惩罚
comment	n. 评论
major	adj. 主要的 v. 主修
option	n. 选择
socialize	v. 交往，联谊
bureau	n. 局
budget	n. 预算 v. 编预算
pop	v. 突然出现，跳出
position	n. 职位
unaffordable	adj. 负担不起的
function	n. 功能 v. 运行
perceive	v. 察觉
reserve	v. 留出，预定
innovation	n. 改革，创新
alert	adj. 警觉的 v. 提醒
cautious	adj. 谨慎的
document	n. 文件
characterize	v. 以…为特征
achieve	v. 完成，实现
address	v. 解决
inspiration	n. 灵感
agency	n. 机构
formulate	v. 规定，制定
fate	n. 命运
surf	v. 冲浪
steer	v. 驾驶
structure	n. 结构
architect	n. 建筑师
frame	n. 框架
amaze	v. 使吃惊
affirmation	n. 断言，肯定
intelligent	adj. 聪明的；有才智的
code	n. 代码，密码
burden	n. 重担，负担
absorb	v. 吸收（液体、气体等）
instruction	n. 指示；说明
admission	n. 承认；准许进入
additional	adj. 额外的
prejudice	n. 偏见 v. 使有偏见
process	n. 过程；工序 v. 处理
elegant	adj. 优雅的
hospitable	adj. 热情友好的
refreshing	adj. 恢复活力的
ensure	v. 确保
frighten	v. 使惊恐，使恐慌
civilized	adj. 文明的
approval	n. 批准，认可；赞成，同意
publicize	v. 宣布
resident	n. 居民
considerate	adj. 体贴的；考虑周到的
twist	v. 扭曲，使弯曲
citizen	n. 市民，城镇居民；公民
stake	n. 风险
keenly	adv. 敏锐地
superficial	adj. 肤浅的
flexibility	n. 灵活性；适应性
favorable	adj. 赞同的
competent	adj. 胜任的，有能力的
emotional	adj. 情感的；易动感情的
pioneer	v. 开拓，开发
sustain	vt. 维持
gloomy	adj. 阴沉的，沮丧的
convince	v. 使相信
profitable	adj. 有利可图的，有益的
routinely	adv. 例行公事地
phenomenon	n. 现象
variety	n. 多样
gum	n. 牙龈
criticism	n. 批评
fatal	adj. 致命的，攸关的
delightful	adj. 令人愉快的
tedious	adj. 单调沉闷的
flexible	adj. 灵活的
considerably	adv. 相当地，非常地
efficiently	adv. 有效地
appearance	n. 外表，外观；出现
album	n. 粘贴簿，集邮簿，册
optimistic	adj. 乐观的
clue	n. 线索
grief	n. 悲伤
synthetic	adj. 合成的，人造的
resistance	n. 抵御，抵抗；抵抗力
install	v. 安装
pledge	n. 保证，誓言
unique	adj. 独特的，唯一的
stock	n. 股票；库存
disadvantage	n. 不利情况，缺点
compensate	v. 弥补，补偿
rescue	v. 营救，援救
monitor	v. 监控；监听
refusal	n. 拒绝
exile	n. 流放，放逐
encourage	v. 鼓励
concept	n. 观点，观念
render	v. 给予
trait	n. 性格
feature	n. 特点
reframe	v. 再构造（图画、照片等）
identify	v. 认出，识别；视为
impose	v. 强加
snack	n. 零食，小吃
require	v. 要求，命令
donation	n. 捐赠
equal	adj. 相等的，平等的
rare	adj. 罕有的，少见的
specify	v. 指定，具体说明
constant	adj. 不断的，持续的
standardize	v. 使标准化
consume	v. 消费，消耗
status	n. 地位
complement	v. 补充
lengthy	adj. 长的，漫长的
embarrassed	adj. 尴尬的；窘迫的
rational	adj. 神智清楚的
distant	adj. 遥远的
homemaker	n. 主妇
exception	n. 例外
sustainable	adj. 可持续的
trigger	v. 引发，引起
intend	v. 打算
spread	v. 扩散；传播
estimate	v. 估计
technique	n. 技巧，手艺；技术，技能
include	v. 包含
academic	adj. 学术的
distinctive	adj. 独特的，与众不同的
consist	v. 由…组成
bid	n. 出价；投标
benefit	v. 有益于，有助于
downsize	v. 裁员
avoid	v. 避免
gender	n. 性别
interracial	adj. 种族间的
complaint	n. 抱怨；投诉
pattern	n. 模式
mood	n. 心情
sympathy	n. 同情心
discount	n. 折扣
value	v. 重视
altitude	n. 海拔，高度
groundsheet	n. 防潮布
evolutionary	adj. 进化的；演变的
implement	v. 实施，执行
dominant	adj. 占优势的
scope	n. 范围
suspect	v. 怀疑 n. 嫌疑犯
confrontation	n. 冲突，对抗
puzzle	v. 使困惑 n. 谜
critic	n. 批评家，评论家
apartment	n. 公寓
analyze	v. 分析
maintain	v. 维持；主张
curb	v. 控制 n. 控制
version	n. 版本
rival	n. 对手
beneficial	adj. 有利的，有益的
substantial	adj. 大量的
recover	v. 恢复；找回
diploma	n. 文凭
carpenter	n. 木匠
circumstance	n. 环境，境遇
canteen	n. 食堂
advocator	n. 主张者，倡导者
disorderly	adj. 杂乱的
essentially	adv. 本质上，根本上
prevent	v. 预防
ceremony	n. 典礼，仪式
assume	v. 假定，认为
demand	n. 需求，要求 v. 要求
principle	n. 原则，原理
reception	n. 接待；反响
transfer	v. 转移；调动
preventable	adj. 可预防的
anticipate	v. 预感
assumption	n. 假定，假设
prescription	n. 处方
evolution	n. 演变，进化
annoy	v. 使反感，厌烦
unintended	adj. 意想不到的
origin	n. 起源
qualify	v. 使有资格；合格
emergence	n. 出现，发生
complain	v. 抱怨
merit	n. 优点，成绩 v. 值得
forum	n. 论坛
arrange	v. 安排，筹划
determination	n. 意志
bargain	n. 便宜货，减价品
appetite	n. 欲望，胃口
neutral	adj. 中立的
primitive	adj. 原始的；简陋的
therapy	n. 疗法，治疗
conscience	n. 良心
define	v. 确定；下定义
creativity	n. 创造力
tailor	v. 调整使适应
dramatically	adv. 显著地；戏剧性地
panic	n. 惊恐
motivation	n. 激励，刺激
durable	adj. 持久的，耐用的
remedy	n. 药物
inevitable	adj. 不可避免的
diverse	adj. 各种各样的
context	n. 背景，环境
prominent	adj. 杰出的；突出的
witness	n. 目击者，目击
save	v. 节省
inherit	v. 继承
occasion	n. 场合
initiative	n. 主动权，自主权
insight	n. 洞察力，洞悉
misguided	adj. 被误导的
sponsor	v. 赞助
porter	n. 搬运工
loyalty	n. 忠诚，忠实
overwhelming	adj. 压倒性的
appreciation	n. 感激
setting	n. 背景，环境
display	n. 展览 v. 展览
deliver	v. 发表
astonish	v. 使惊讶，使大为吃惊
adequate	adj. 足够的
consumption	n. 消费，消耗
abuse	v. 虐待；滥用
broad	adj. 宽的
inappropriate	adj. 不合适的
worldwide	adv. 全世界范围地
strict	adj. 严格的
means	n. 方法
reveal	v. 揭露，揭示
confirm	v. 证实
consensus	n. 一致意见
agent	n. 代理商
neighborhood	n. 地区
participate	v. 参与，参加
valid	adj. 有效的
initially	adv. 最初，起初
slightly	adv. 轻微地
objection	n. 反对
atmosphere	n. 气氛；大气
assign	v. 布置；分配
evidence	n. 根据，证据，迹象
racially	adv. 种族上地
exclude	v. 排除，不包括
available	adj. 可获得的；可用的
puzzling	adj. 令人困惑的
evaluation	n. 评价，评估
irritate	v. 激怒
distinguished	adj. 显著的，杰出的
depressing	adj. 令人沮丧的
mutually	adv. 互相地
mission	n. 使命，任务；代表团
migration	n. 迁移，移民
site	n. 场所，地址
expectation	n. 期望
update	v. 更新；使现代化
gear	n. 齿轮 v. 使合适
reproductive	adj. 生殖的，再生的
incredible	adj. 不可思议的
backward	adv. 向后
raise	v. 提高；抚养
prohibit	v. 禁止，阻止，防止
bother	v. 麻烦；打扰
pose	v. 摆姿势 n. 姿势
instrument	n. 仪器，器械，工具
mask	v. 掩饰
essential	adj. 必须的；本质的
harvest	n. 丰收，收获
reject	v. 拒绝，驳回
advancement	n. 进步，提升
skyrocket	v. 突升，猛涨
characteristic	n. 特点
implication	n. 含义，暗示
measure	n. 分量 v. 测量
replacement	n. 代替
easygoing	adj. 脾气随和的，温和的
squeeze	v. 压，榨
exhibition	n. 展览
responsibility	n. 责任
enhance	v. 提高；增强
retain	v. 保留，留用
convey	v. 传达，传递
regulation	n. 管理；规则
integrity	n. 完整
combine	v. 联合，结合
impermanency	n. 非永久性
catalogue	n. 目录 v. 编入目录
council	n. 议会
prepare	v. 做准备
inquiry	n. 询问
tension	n. 紧张
prompt	adj. 迅速的；及时的
attendance	n. 出席人数
retail	n. 零售 v. 零售
image	n. 形象，声誉；印象
quantity	n. 量，数量
inspector	n. 检查员
endurance	n. 耐力
simplify	v. 简化
range	n. 范围 v. 变动
accomplish	v. 完成
treatment	n. 治疗；对待
spare	adj. 空闲的
welfare	n. 幸福；福利
boost	n. 推动 v. 促使，促进
consciousness	n. 意识
patiently	adv. 耐心地
decent	adj. 正派的，体面的
review	n. 回顾 v. 复习
considerable	adj. 相当大的
misguide	v. 误导
foundation	n. 基础；基金会
postgraduate	n. 研究生
prevail	v. 流行，盛行
solid	adj. 扎实的，坚实的
counsel	v. 忠告，建议
maximum	n. 最大值 adj. 最大的
abstract	adj. 抽象的
realistic	adj. 现实的，实际的
ban	v. 禁止
ashamed	adj. 惭愧的；羞耻的
solve	v. 解决
reinforce	v. 加强，强化
applicant	n. 申请人
tuition	n. 学费
persistence	n. 坚持不懈
overcome	v. 战胜，克服
bride	n. 新娘
engagement	n. 婚约
household	n. 家庭，一家人
evaluate	v. 评价
saint	n. 圣人
delay	v. 推迟，延期
private	adj. 私人的
definition	n. 定义
influential	adj. 有影响力的
recommend	v. 推荐；建议
frontier	n. 边境
concern	n. 重要的事 v. 有关
organ	n. 器官
cite	v. 引用
mechanism	n. 机制，机能
contest	n. 比赛
symptom	n. 症状
deadline	n. 最后期限
domination	n. 主导
figure	n. 人物；数字
imply	v. 暗示；意味
curiosity	n. 好奇心
induce	v. 引诱
acknowledge	v. 承认
gym	n. 体育馆，健身房
chef	n. 厨师
sensible	adj. 明智的
outline	n. 提纲，要点
react	v. 反应
committee	n. 委员会
civilian	n. 平民，百姓
domestic	adj. 国内的
complex	adj. 复杂的
locate	v. 位于，定位
tighten	v. 使变紧
physics	n. 物理，物理学
foothold	n. 立足处
discharge	v. 排出；释放
advanced	adj. 高级的
complicated	adj. 复杂的，难懂的
needy	adj. 贫穷的
stale	adj. 乏味的，没有新意的
casual	adj. 随便的；偶然的
conform	v. 相一致，遵守
recharge	v. 再充电
annually	adv. 每年，一年一次
frown	v. 皱眉
decline	v. 下降，减少；拒绝
originate	v. 开始
prospect	n. 前景；前途
curious	adj. 好奇的
incentive	n. 动机，刺激
virus	n. 病毒
cultivate	v. 培养，养成
potential	n. 潜力 adj. 潜在的
reluctant	adj. 不愿意的，勉强的
miserable	adj. 痛苦的
persuasion	n. 劝说
competitiveness	n. 竞争力
restriction	n. 限制，限定
minor	adj. 小的
grain	n. 谷物，粮食
rate	n. 比率，速率
radically	adv. 完全地，彻底地
distinct	adj. 明显的；有区别的
equality	n. 平等
hardworking	adj. 苦干的，不辞辛劳的
qualification	n. 资格（证明），合格证书
bacteria	n. 细菌
corporate	adj. 团体的；法人的
undermine	v. 逐渐削弱；逐渐动摇
selfish	adj. 自私的
cater	v. 迎合
survival	n. 幸存
favor	v. 偏好，较喜欢
conflict	v. 冲突
client	n. 客户
garage	n. 车库
fatigue	n. 疲劳，疲乏
plant	n. 工厂
endanger	v. 危及，危害，濒临危险
operation	n. 手术；行动
handle	v. 处理
laborious	adj. 费力的
passion	n. 热情，激情
cooperative	adj. 合作的
inflate	v. （使）膨胀
resourceful	adj. 机智的
exaggerate	v. 夸张
loan	n. 贷款
vocabulary	n. 词汇
illustrate	v. 说明，阐明
overflow	v. 溢出，淹没
fantasize	v. 想象，幻想
amusing	adj. 有趣的，好玩儿的
universal	adj. 普遍的；全世界的
generate	v. 产生
schedule	n. 日程表
backslide	v. 倒退，退步
particle	n. 微粒
menu	n. 菜单
reward	n. 奖赏；报答 v. 奖赏
reproduce	v. 复制
worsen	v. （使）变得更坏
feedback	n. 反馈
equivalent	adj. 相等的，相当的
resign	v. 辞职
motivate	v. 促动，激发，诱导
compel	v. 强迫
revise	v. 修订
dampen	v. 抑制
prosperity	n. 繁荣
flow	n. 流动 v. 流动
humanity	n. 人类；人性
sideways	adv. 向侧面
pursue	v. 追求
innovate	v. 创新，革新
mill	n. 工厂
promotional	adj. 促销的
dump	v. 扔下，倾倒；倾销
resist	v. 抵抗，抗拒
source	n. 来源
legal	adj. 法律的
picky	adj. 挑剔的
steal	v. 偷窃
despite	prep. 尽管
explosion	n. 爆炸
gap	n. 缝隙，缺口；差距
relevant	adj. 有关的，切题的
ignore	v. 忽视，不顾
complete	v. 完成 adj. 完整的
sufficient	adj. 足够的
switch	v. 转变，改变
request	n. 要求
stereotype	n. 老套，固定模式
couple	n. 夫妻，情侣
honesty	n. 诚实
transportation	n. 运输
physical	adj. 身体上的
screen	v. 筛查
divine	adj. 神圣的
guideline	n. 指导原则
revolution	n. 革命
interruption	n. 打扰；中断
dishwasher	n. 洗碗机
promising	adj. 有希望的，有前途的
vary	v. 不同；变化
permanent	adj. 永久的
manufacture	v. 制造，生产
fussy	adj. 爱挑剔的
dictate	v. 命令；规定
professional	adj. 专业的
prosper	v. 繁荣
exchange	n. 交换；交流 v. 交换
concentration	n. 集中
gesture	n. 手势，姿势
deliberate	adj. 故意的
contribution	n. 贡献；捐款
bless	v. 保佑，祝福
detective	n. 侦探
evident	adj. 明显的
retreat	v. 退避，后退；撤退
responsible	adj. 负责的，有责任的
identity	n. 身份
statistics	n. 统计学；数据
appreciate	v. 感激；欣赏
insult	v. 侮辱
neglect	v. 疏忽；忽视
primarily	adv. 主要地，首先
long	v. 渴望
incline	v. 倾向于
asset	n. 资产；宝贵的人或物
overtake	v. 超车
extension	n. 分机
engine	n. 引擎，发动机
emphasize	v. 强调
genuine	adj. 真正的
fascination	n. 魅力；入迷
lodge	v. 住宿，暂住
cheat	v. 欺骗，作弊
security	n. 安全，安保
painful	adj. 痛苦的；疼痛的
emerge	v. 出现
instance	n. 情况，例子
steep	adj. 陡峭的；急剧的
rigorous	adj. 严格的
persuade	v. 说服
procedure	n. 程序
signature	n. 签名
surpass	v. 超过
campaign	n. 活动
advance	n. 提前 v. 前进
charity	n. 慈善机构
average	adj. 平常的
indispensable	adj. 必不可少的
irrationally	adv. 不合理地，无理性地
accompany	v. 陪伴
aviation	n. 航空
distress	v. 使痛苦，悲痛
invariably	adv. 不变地，一直
invest	v. 投资
approximately	adv. 大约
conservation	n. 保护，保存
ease	n. 轻松，舒适
extracurricular	adj. 课外的
undoubtedly	adv. 无疑
excellent	adj. 极好的；卓越的
investigate	v. 调查
judgement	n. 判断，决定
struggle	v. 搏斗
prohibitively	adv. 过分地，非常地
military	adj. 军队的，军事的
consequently	adv. 结果
suffer	v. 受苦；遭受（痛苦）
visible	adj. 看得见的
swift	adj. 迅速的
battle	n. 战争，战役
liability	n. 责任
resistant	adj. 抵抗的；抵制的
nutritious	adj. 营养的
constantly	adv. 不断地，时常地
familiar	adj. 熟悉的
terribly	adv. 可怕地，非常
restore	v. 修复
refine	v. 改善；精炼
inspire	v. 鼓舞；激发
comply	v. 遵从
justice	n. 公正
district	n. 区
installation	n. 安装；就职
marvelous	adj. 引起惊异的
provoke	v. 激起，挑起
lobby	n. 大堂 v. 游说
interview	n. 面试 v. 采访
release	v. 释放；发布
explore	v. 探索
profound	adj. 深厚的
exploit	v. 开采
startup	n. 启动，开办
constructive	adj. 建设的，建设性的
unbearable	adj. 无法忍受的
laundry	n. 要洗的衣物；洗衣房
seize	v. 抓住
poison	v. 使中毒
bakery	n. 面包店
tent	n. 帐篷
wedding	n. 婚礼
fair	n. 集市
geographic	adj. 地理的
comprehensive	adj. 综合的，全面的
riot	n. 暴乱
conspicuous	adj. 显著的
block	v. 阻碍 n. 街区
acute	adj. 敏锐的
endure	v. 忍耐；容忍
assembly	n. 装配
opponent	n. 对手
confront	v. 面对
stir	v. 搅动；煽动，激起
rocket	n. 火箭 v. 猛增
attribute	v. 归因于
sentence	n. 判决 v. 判决
tempting	adj. 诱人的，吸引人的
commitment	n. 承诺，保证
feasible	adj. 可行的；可能的
outcome	n. 结果
diligent	adj. 勤奋的
deprive	v. 剥夺，夺去，使丧失
grid	n. 输电网
distribute	v. 分发
destruction	n. 破坏
divide	v. 分开
highlight	v. 突出；强调
justify	v. 证明正当
announce	v. 宣布，声称
proposal	n. 提议
advisory	n. 报告，警告
mystery	n. 谜，神秘的事物
punctual	adj. 准时的
derive	v. 得到，导出
harmony	n. 和谐
unwilling	adj. 不愿意的
view	v. 看待
financial	adj. 财政的，经济的
priority	n. 优先，优先权
impermanent	adj. 暂时的；不持久的
symbolize	v. 象征
bankrupt	adj. 破产的，倒闭的
intake	n. 摄入
addiction	n. 上瘾
productive	adj. 富有成效的
admire	v. 钦佩，称赞
reflect	v. 反映
underline	v. 强调
representative	n. 代表
blame	v. 指责，责怪
retrain	v. 再教育；再训练
tasteless	adj. 无味的
excessive	adj. 过度的
dishonest	adj. 不诚实的
caution	n. 谨慎 v. 警告
glorious	adj. 辉煌的
pointless	adj. 无意义的
significant	adj. 重要的
mutual	adj. 相互的
temptation	n. 诱惑，引诱
passive	adj. 被动的
evolve	v. 使发展
treasure	v. 珍爱
shock	v. 感到震惊
disservice	n. 伤害，帮倒忙
ambitious	adj. 有雄心的；野心勃勃的
fancy	adj. 华丽的；别致的
accumulate	v. 积累，增加
fuss	n. 大惊小怪
ultimately	adv. 最后，最终
showmanship	n. 主持演出的技巧
cancel	v. 取消
regulate	v. 管理
peer	n. 同龄人
calculate	v. 计算
virtually	adv. 几乎，差不多
accustom	v. 使习惯
retailer	n. 零售商
programmer	n. 程序设计员
advice	n. 建议
admiration	n. 钦佩，称赞
courageous	adj. 有勇气的
respectful	adj. 有礼貌的，尊重的
makeup	n. 化妆品
reservation	n. 预定
apply	v. 申请；应用
demonstrate	v. 证明；展示
generation	n. 一代人；产生
chat	v. 聊天
ancient	adj. 古代的
evil	n. 邪恶，罪恶
indifferent	adj. 冷漠的
namely	adv. 即，也就是
effect	n. 影响
devote	v. 奉献，致力于
appointment	n. 约会
appoint	v. 任命；约定
resemble	v. 像，相似
assemble	v. 集合；组装
expressiveness	n. 表达
visibility	n. 能见度
distracted	adj. 分心的
debt	n. 债务
substitute	n. 代替者 v. 代替
insecure	adj. 不安全的
chap	n. 小伙子，小家伙，家伙
selective	adj. 选择的，精选的
compensation	n. 弥补，补偿
dilemma	n. 困境
foreseeable	adj. 可以预见的
inadequacy	n. 不足
guarantee	v. 担保 n. 保证，担保
discrimination	n. 歧视
intense	adj. 强烈的
facilitate	v. 使便利，促进
mislead	v. 误导
reassess	v. 重新评估
response	n. 反应
essay	n. 散文，文章
stimulate	v. 刺激
